              ZoneID              CeilID               Count       Ave_MinDist_x       Ave_MinDist_y       Ave_MinDist_z         Ave_MinDist   DevSqrt_MinDist_x   DevSqrt_MinDist_y   DevSqrt_MinDist_z     DevSqrt_MinDist
                   0               17869                   1        2.694791e+01        2.313044e+01        6.200000e-01        3.551890e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   0               21118                   1        1.172765e+01        6.833518e+00        1.159900e+01        1.785418e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   0               24367                   4        9.713866e+00        6.224375e+00        9.908250e+00        1.530510e+01        1.700062e+00        2.790182e+00        2.445380e+00        3.699267e+00
                   0               27616                   8        3.093997e+00        6.325608e+00        4.062625e+00        8.548732e+00        1.327359e+00        1.574218e+00        2.692660e+00        2.121486e+00
                   0               30865                   7        3.790348e+00        8.427158e+00        2.287429e+00        1.017007e+01        3.852613e+00        1.997614e+00        1.027954e+00        2.659970e+00
                   1               14677                   1        2.546996e+00        2.262769e+01        5.023700e+01        5.515665e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               17811                   1        2.504838e+01        3.597868e+00        1.622300e+01        3.005914e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               17813                   1        2.322452e+01        1.304218e+01        2.001000e+01        3.331482e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               17870                   1        4.897874e+00        2.142023e+01        1.800000e+00        2.204666e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               21061                   2        1.315990e+01        8.294461e+00        5.704000e+00        1.656855e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               21062                   2        1.318160e+01        1.341517e+01        1.763000e+01        2.636512e+01        5.311147e+00        7.313964e+00        1.343000e+00        7.274937e+00
                   1               21117                   1        1.172765e+01        6.833518e+00        1.159900e+01        1.785418e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               21174                   1        1.712994e+01        4.788348e+00        8.643000e+00        1.977535e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               21175                   1        1.712994e+01        4.788348e+00        8.643000e+00        1.977535e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               21176                   2        9.601290e+00        4.744196e+00        1.507350e+01        1.908977e+01        1.380585e+00        7.077587e-01        6.349500e+00        4.495159e+00
                   1               24311                   5        6.775620e+00        6.247676e+00        4.513200e+00        1.101389e+01        4.215550e+00        4.878581e+00        2.687446e+00        5.727080e+00
                   1               24366                   4        4.121414e+00        4.137041e+00        5.459500e+00        9.700822e+00        1.981867e+00        4.576296e+00        2.768108e+00        1.527762e+00
                   1               24368                   4        5.336810e+00        7.294032e+00        5.401500e+00        1.088744e+01        1.194290e+00        2.352106e+00        1.585604e+00        1.340557e+00
                   1               24423                   4        9.639512e+00        6.995158e+00        6.211750e+00        1.456929e+01        5.673455e+00        5.443336e+00        1.962450e+00        5.817502e+00
                   1               24424                   1        1.153092e+00        6.616270e+00        7.045000e+00        9.733277e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               24425                  18        2.552529e+00        3.644354e+00        3.841333e+00        6.687131e+00        2.078349e+00        3.167534e+00        1.678032e+00        2.646400e+00
                   1               27558                   2        2.184211e+00        1.324929e+01        1.660500e+00        1.356495e+01        3.145770e-01        6.060996e+00        1.286500e+00        6.128088e+00
                   1               27559                   6        3.912857e+00        3.648128e+00        2.906167e+00        7.383767e+00        1.716278e+00        3.686278e+00        2.358386e+00        2.154372e+00
                   1               27560                   2        8.053269e+00        5.387728e+00        4.550000e+00        1.212479e+01        2.466113e+00        4.634733e+00        2.245000e+00        4.209840e-01
                   1               27615                   7        5.730203e+00        4.294182e+00        6.621429e+00        1.101469e+01        3.276433e+00        3.655210e+00        2.662787e+00        2.231853e+00
                   1               27617                  19        2.512809e+00        3.724207e+00        3.488789e+00        6.646999e+00        2.207103e+00        2.940253e+00        2.200960e+00        2.556090e+00
                   1               27672                   6        5.037162e+00        2.319261e+00        4.382667e+00        7.413935e+00        4.050913e+00        1.060790e+00        1.421620e+00        3.814380e+00
                   1               27673                  14        3.535356e+00        1.838028e+00        3.437643e+00        5.921397e+00        2.438659e+00        1.692457e+00        2.173246e+00        2.483142e+00
                   1               27674                  97        1.952176e+00        1.742378e+00        1.832062e+00        3.675588e+00        1.327140e+00        1.421770e+00        1.210396e+00        1.393255e+00
                   1               30808                   1        6.330720e-01        1.057760e+01        2.424000e+00        1.087024e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   1               30809                   2        1.540346e+00        6.937124e+00        2.099500e+00        7.493800e+00        5.060259e-01        3.867570e+00        2.033500e+00        4.253996e+00
                   1               30864                   3        7.233678e+00        6.750084e+00        4.493667e+00        1.296028e+01        4.798588e+00        4.003280e+00        5.365066e+00        4.236824e+00
                   1               30866                  14        1.431661e+00        2.690298e+00        1.877571e+00        4.022431e+00        9.465911e-01        1.732092e+00        1.349650e+00        1.533106e+00
                   1               30921                   2        1.593658e+00        4.660877e+00        6.204500e+00        9.378431e+00        8.317090e-01        2.166268e+00        4.885500e+00        2.014188e+00
                   1               30922                  23        2.924617e+00        2.053251e+00        2.464435e+00        4.978158e+00        1.998800e+00        1.431969e+00        1.443954e+00        1.480320e+00
                   1               30923                 476        1.029123e+00        1.026902e+00        1.064429e+00        2.087821e+00        8.221729e-01        7.915784e-01        7.525184e-01        8.697609e-01
                   2                4986                   1        2.092620e+01        4.899806e+01        1.224700e+02        1.335575e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               11369                   1        2.051477e+01        3.051147e+01        2.606500e+01        4.506873e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               11484                   1        1.941528e+01        7.046848e+00        6.498400e+01        6.818747e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17754                   1        1.691148e+01        3.154985e+00        5.316000e+00        1.800589e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17810                   1        4.740705e+00        2.279924e+01        9.278000e+00        2.506713e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17867                   1        4.740705e+00        2.279924e+01        9.278000e+00        2.506713e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17871                   1        2.073789e+01        6.190025e+00        9.196000e+00        2.351474e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17928                   1        4.897874e+00        2.142023e+01        1.800000e+00        2.204666e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17984                   1        2.033221e+01        3.758927e+00        5.564000e+00        2.141230e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               17985                   1        1.401036e+01        8.981584e+00        9.915000e+00        1.937179e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21002                   2        1.269083e+01        1.026550e+01        5.007500e+00        1.894968e+01        4.220653e+00        7.110515e+00        3.085000e-01        9.437935e-01
                   2               21059                   1        2.096680e+01        1.031016e+01        3.251000e+00        2.358972e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21063                   1        1.763751e+01        1.161280e+01        1.182500e+01        2.420267e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21116                   1        9.935162e+00        1.915490e+01        4.986000e+00        2.214673e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21120                   3        6.116615e+00        1.097254e+01        5.002333e+00        1.425459e+01        2.189633e+00        3.657267e+00        2.188731e+00        1.612539e+00
                   2               21173                   1        1.967171e+01        4.228222e+00        8.061000e+00        2.167565e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21177                   1        1.098188e+01        4.036437e+00        8.724000e+00        1.459461e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21233                   1        4.968090e+00        9.781986e+00        5.670000e-01        1.098593e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               21234                   1        5.774850e-01        6.756560e-01        6.682000e+00        6.740855e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               24251                   2        1.697301e+01        2.471935e+00        4.368500e+00        1.774790e+01        5.425195e-01        1.371987e+00        8.750000e-02        6.883865e-01
                   2               24252                   3        1.229685e+01        1.345665e+00        6.649000e+00        1.445106e+01        3.690164e+00        1.766535e+00        1.674429e+00        2.817976e+00
                   2               24253                   2        1.181942e+01        4.292156e+00        5.950500e+00        1.727031e+01        9.687333e+00        1.281556e+00        5.392500e+00        4.453303e+00
                   2               24254                   3        9.725769e+00        8.709692e+00        2.608000e+00        1.442179e+01        6.136572e+00        2.368618e+00        1.494430e+00        3.842408e+00
                   2               24255                   3        8.997621e+00        3.983425e+00        8.398000e+00        1.526474e+01        6.069988e+00        4.336021e+00        3.285218e+00        8.818140e-01
                   2               24308                   1        3.949550e-01        9.919917e+00        4.333000e+00        1.083216e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               24312                   2        6.454532e+00        6.321389e+00        6.634500e+00        1.446745e+01        6.450847e+00        3.976622e+00        5.280500e+00        1.281087e+00
                   2               24365                   4        9.244407e+00        1.981164e+00        2.321750e+00        1.017329e+01        2.888404e+00        1.993969e+00        1.725868e+00        2.564409e+00
                   2               24369                   5        3.717056e+00        5.730264e+00        3.783800e+00        9.100566e+00        4.183276e+00        1.765606e+00        2.020494e+00        1.687846e+00
                   2               24426                   9        4.398257e+00        4.812888e+00        3.697111e+00        8.449747e+00        2.310145e+00        3.132631e+00        2.285125e+00        2.269560e+00
                   2               24479                   2        4.710345e+00        5.336616e+00        8.531000e+00        1.206892e+01        2.230531e+00        6.435375e-01        5.088000e+00        3.010499e+00
                   2               24480                   1        9.272727e+00        1.161288e+01        1.032600e+01        1.809609e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               24481                   2        7.872137e+00        3.491601e+00        4.259000e+00        1.013034e+01        2.368538e+00        1.709341e+00        1.479000e+00        6.296003e-01
                   2               24482                   9        3.249614e+00        5.292453e+00        1.729556e+00        6.927838e+00        2.415661e+00        2.726794e+00        1.712560e+00        3.125726e+00
                   2               24483                   6        2.386928e+00        7.344270e+00        4.630333e+00        1.046428e+01        2.287287e+00        5.436409e+00        2.594123e+00        3.618058e+00
                   2               27501                   3        6.028467e+00        9.943434e+00        2.137333e+00        1.269863e+01        5.158913e+00        6.613904e-01        1.454283e+00        2.773831e+00
                   2               27502                   1        1.332427e+01        9.008087e+00        4.194000e+00        1.662142e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               27503                   2        5.976997e+00        8.865865e+00        5.411500e+00        1.423763e+01        1.240221e+00        6.344403e+00        4.501500e+00        1.719102e+00
                   2               27504                   2        1.091607e+01        7.892069e+00        1.092650e+01        2.257810e+01        1.076598e+01        3.347825e-01        9.648500e+00        4.188035e-01
                   2               27557                   1        1.426502e+01        1.740993e+01        4.337000e+00        2.292174e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               27561                   3        2.335880e+00        4.284064e+00        3.821333e+00        7.086939e+00        1.434330e+00        3.499877e+00        4.224727e+00        4.510232e+00
                   2               27614                   1        1.109779e+01        1.108628e+01        1.577500e+01        2.224673e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               27618                   9        4.136526e+00        2.574558e+00        4.329667e+00        7.338927e+00        1.965916e+00        2.874724e+00        2.686155e+00        2.823059e+00
                   2               27671                   3        9.796299e+00        7.430777e+00        4.709333e+00        1.525200e+01        1.930659e+00        8.774934e+00        1.657930e+00        4.920747e+00
                   2               27675                   9        3.851599e+00        2.770672e+00        3.126000e+00        6.590124e+00        2.256852e+00        2.527654e+00        2.052653e+00        2.132929e+00
                   2               27728                   1        5.803265e+00        1.674020e+00        1.884000e+00        6.326902e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               27729                   6        5.747258e+00        5.469594e+00        3.254833e+00        9.111357e+00        2.276233e+00        3.130314e+00        1.897815e+00        3.017672e+00
                   2               27730                  12        3.303311e+00        2.987982e+00        3.829083e+00        7.026598e+00        3.046852e+00        2.484192e+00        3.049732e+00        3.143897e+00
                   2               27731                  16        2.504791e+00        2.388237e+00        3.131125e+00        5.273496e+00        2.675405e+00        1.408694e+00        2.981203e+00        3.464335e+00
                   2               27732                  13        2.485250e+00        3.048103e+00        4.723385e+00        7.025573e+00        1.574544e+00        3.180266e+00        1.943700e+00        2.188685e+00
                   2               30749                   1        1.418864e+01        8.800497e+00        2.511000e+00        1.688406e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30750                   2        1.105774e+01        1.854170e+00        7.888000e+00        1.370884e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30751                   1        2.067038e+01        4.555557e+00        1.040000e-01        2.116669e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30752                   1        6.205726e+00        2.091804e+01        6.368000e+00        2.272943e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30753                   1        1.285045e+01        4.152754e+00        9.169000e+00        1.632330e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30806                   2        6.519940e+00        1.238564e+01        4.797000e+00        1.535953e+01        1.860800e-01        4.353142e+00        4.687000e+00        4.895122e+00
                   2               30810                   2        7.186478e+00        8.076125e+00        5.786500e+00        1.282707e+01        2.305541e+00        9.513905e-01        2.882500e+00        5.903675e-01
                   2               30863                   1        6.333860e+00        1.673878e+01        9.484000e+00        2.025465e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30867                   7        4.293455e+00        4.910240e+00        3.016571e+00        7.759572e+00        2.221253e+00        2.467130e+00        2.244120e+00        2.736736e+00
                   2               30920                   1        8.224490e+00        1.314703e+01        6.577000e+00        1.684469e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   2               30924                  22        2.946253e+00        1.488640e+00        1.962000e+00        4.255894e+00        1.638560e+00        1.118732e+00        2.051012e+00        2.185487e+00
                   2               30978                   5        3.094083e+00        6.234046e+00        5.590600e+00        1.092776e+01        2.847174e+00        3.661546e+00        5.030006e+00        2.662667e+00
                   2               30979                   9        3.289199e+00        2.906947e+00        4.030333e+00        6.849562e+00        2.104565e+00        3.017183e+00        2.388071e+00        2.798523e+00
                   2               30980                  15        2.066515e+00        3.340800e+00        2.721867e+00        5.355275e+00        1.813704e+00        1.686279e+00        2.855432e+00        2.906471e+00
                   2               30981                   5        3.420177e+00        3.446601e+00        4.483000e+00        7.386462e+00        1.415130e+00        3.063241e+00        3.799433e+00        3.864695e+00
                   3                1797                   1        5.707544e+01        2.410794e+00        1.085100e+02        1.226289e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               14566                   1        1.286314e+01        1.396142e+01        7.312600e+01        7.554994e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               14731                   1        2.112640e+00        2.114742e+01        4.069000e+00        2.163871e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               17752                   1        2.245500e+01        2.523082e+01        3.670400e+01        4.987991e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               17815                   3        6.109487e+00        1.671740e+01        4.150333e+00        1.858209e+01        4.642320e+00        2.417340e+00        1.038504e+00        4.147491e+00
                   3               17923                   1        6.143950e-01        5.807943e+00        3.205300e+01        3.258074e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               17929                   2        9.739501e+00        9.074794e+00        1.753000e+01        2.201160e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               17986                   1        1.401036e+01        8.981584e+00        9.915000e+00        1.937179e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               18038                   1        2.112640e+00        2.114742e+01        4.069000e+00        2.163871e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               18041                   1        2.056828e+00        2.181922e+01        8.041000e+00        2.334452e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               20946                   2        6.671057e+00        1.373000e+01        3.602000e+00        1.568472e+01        1.799120e+00        3.646010e+00        1.097000e+00        4.208756e+00
                   3               20950                   1        3.117604e+00        3.397433e+00        1.097500e+01        1.190431e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21001                   3        1.044869e+01        1.069606e+01        1.117733e+01        2.283706e+01        5.225949e+00        4.430451e+00        1.476628e+01        9.589796e+00
                   3               21064                   1        1.763751e+01        1.161280e+01        1.182500e+01        2.420267e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21115                   2        5.278865e+00        5.869400e+00        2.217400e+01        2.353726e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21121                   1        2.008295e+01        1.215184e+00        2.120300e+01        2.922959e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21172                   2        1.403279e+01        1.067362e+01        3.912000e+00        1.815549e+01        7.950035e-01        4.015240e-01        2.091000e+00        1.301084e+00
                   3               21178                   1        6.838700e-01        1.023246e+01        6.950000e+00        1.238844e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21229                   1        2.320845e+01        9.463813e+00        1.990000e-01        2.506463e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21235                   3        5.766833e+00        4.471712e+00        7.853667e+00        1.199747e+01        6.263076e-01        2.620500e-01        7.634868e+00        5.453940e+00
                   3               21287                   1        2.370058e+01        8.221524e+00        8.936000e+00        2.663011e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21288                   2        4.855394e+00        1.470515e+01        1.629000e+01        2.247622e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               21290                   3        2.697085e+00        2.228143e+00        7.150000e+00        8.312194e+00        4.039824e-02        1.033371e-01        5.424923e+00        4.869385e+00
                   3               24193                   2        6.802354e+00        6.102230e-01        6.576000e+00        9.480937e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24194                   2        7.925448e+00        1.096822e+01        2.025000e+00        1.396646e+01        1.365086e+00        5.911690e+00        1.819000e+00        5.680974e+00
                   3               24195                   1        6.560362e+00        5.056527e+00        2.060000e-01        8.285484e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24196                   1        5.475283e+00        1.191625e+01        2.170000e-01        1.311575e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24199                   3        3.667055e+00        6.213350e+00        1.313567e+01        1.670904e+01        9.100330e-01        6.313833e+00        5.272176e+00        3.727629e+00
                   3               24250                   1        1.643049e+01        1.099947e+00        4.456000e+00        1.705951e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24256                   1        1.140807e+01        1.474629e+01        8.650000e-01        1.866401e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24307                   1        4.723844e+00        3.165233e+00        1.275400e+01        1.396416e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24313                   2        9.400301e+00        7.887391e+00        1.408000e+00        1.396299e+01        3.505078e+00        5.542624e+00        5.400000e-02        7.766310e-01
                   3               24364                   1        1.121812e+01        1.369412e+01        1.087900e+01        2.077806e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24370                   1        8.576665e+00        3.281149e+00        2.710000e+00        9.574404e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24427                   2        7.843585e+00        6.312096e+00        4.732000e+00        1.150384e+01        1.372610e-01        7.879319e-01        2.951000e+00        8.751205e-01
                   3               24478                   2        5.985187e+00        3.559728e+00        7.323500e+00        1.234662e+01        3.505373e+00        2.420425e+00        6.295500e+00        2.732800e+00
                   3               24484                   3        1.042449e+01        9.640798e+00        4.777667e+00        1.646430e+01        4.885817e+00        4.566103e+00        2.570569e+00        2.167084e+00
                   3               24536                   1        6.940876e+00        4.693079e+00        3.443000e+00        9.058421e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24537                   1        1.326265e+01        7.072360e+00        9.371000e+00        1.771248e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               24538                   4        6.309343e+00        6.324111e+00        5.539500e+00        1.232796e+01        3.184845e+00        3.966534e+00        6.716459e+00        5.431135e+00
                   3               24539                   3        1.007652e+01        8.110261e+00        5.828667e+00        1.596856e+01        4.325742e+00        4.708522e+00        3.746264e+00        1.098961e+00
                   3               24540                   4        5.579949e+00        3.118372e+00        3.692250e+00        8.443721e+00        2.621772e+00        3.523915e+00        2.419607e+00        2.888343e+00
                   3               24541                   1        1.287800e+01        8.732644e+00        4.693000e+00        1.625196e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27444                   1        3.798598e+00        7.549639e+00        2.003400e+01        2.174368e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27445                   2        1.115906e+01        1.691359e+01        7.147000e+00        2.188431e+01        2.815259e+00        2.750436e+00        1.854000e+00        1.295661e+00
                   3               27446                   2        3.314172e+00        1.370449e+01        7.614500e+00        1.743115e+01        1.422604e+00        1.505777e+00        6.704500e+00        1.474415e+00
                   3               27447                   1        1.292620e+01        9.065997e+00        4.737000e+00        1.648388e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27499                   1        1.665586e+01        1.914721e+01        6.689000e+00        2.624454e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27505                   1        1.113739e+01        6.888494e+00        1.289100e+01        1.837582e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27556                   1        4.723844e+00        3.165233e+00        1.275400e+01        1.396416e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27562                   2        3.260992e+00        9.690838e+00        1.323500e+01        1.676322e+01        1.017320e+00        1.631424e+00        7.190000e-01        1.708700e+00
